time,command,ambient_temp,room_temp,humidity,energy,total_energy
2019-11-01 05:24:20.507,off,25.6,25.93,58.74,0.0,0.99
2019-11-01 05:24:25.507,heating,25.6,26.03,58.74,0.009,1.0
2019-11-01 05:24:30.507,off,25.62,25.95,58.69,0.0,1.0
2019-11-01 05:24:35.507,heating,25.62,26.05,58.69,0.009,1.01
2019-11-01 05:24:40.507,off,25.63,25.97,58.63,0.0,1.01
2019-11-01 05:24:45.507,heating,25.63,26.07,58.64,0.009,1.01
2019-11-01 05:24:50.507,off,25.63,26.0,58.63,0.0,1.01
2019-11-01 05:24:55.507,heating,25.63,26.1,58.63,0.009,1.02
2019-11-01 05:25:00.507,off,25.63,26.02,58.63,0.0,1.02
2019-11-01 05:25:05.507,off,25.63,25.94,58.63,0.0,1.02
